,Company,Industry,Layoff Date,Ticker_x,Ticker_y,Revenue Drop Before Layoff,Revenue Drop After Layoff
0,HP,Hardware,2025-02-28,,,,
1,Autodesk,Other,2025-02-27,ADSK,ADSK,False,
2,Google,Consumer,2025-02-27,GOOG,GOOG,False,
3,eBay,Retail,2025-02-26,EBAY,EBAY,False,
4,Dayforce,HR,2025-02-26,DAY,DAY,False,
5,Expedia,Travel,2025-02-26,,,,
6,Ibotta,Retail,2025-02-22,IBTA,IBTA,True,
7,NetEase,Consumer,2025-02-22,NTES,NTES,False,
8,Riskified,Retail,2025-02-19,RSKD,RSKD,False,
9,Redfin,Real Estate,2025-02-12,RDFN,RDFN,True,
10,Unity,Other,2025-02-11,,,,
11,Meta,Consumer,2025-02-10,,,,
12,Wise,Finance,2025-02-10,,,,
13,Sprinklr,Support,2025-02-06,Not Found,Not Found,,
14,Workday,HR,2025-02-05,,,,
15,Outbrain,Marketing,2025-02-05,OB,OB,False,
16,Sonos,Consumer,2025-02-05,SONO,SONO,True,
17,Okta,Security,2025-02-04,,,,
18,Asana,Other,2025-02-04,,,,
19,TripAdvisor,Travel,2025-02-04,Not Found,Not Found,,
20,Intel,Hardware,2025-02-04,INTC,INTC,False,
21,Salesforce,Sales,2025-02-03,CRM,CRM,False,
22,Amazon,Retail,2025-01-29,,,,
23,Microsoft,Other,2025-01-14,MSFT,MSFT,False,
24,Boozt,Retail,2025-01-13,,,,
25,Wayfair,Retail,2025-01-10,W,W,True,
26,Zillow,Real Estate,2025-01-10,Z,Z,,
27,Redfin,Real Estate,2025-01-09,RDFN,RDFN,True,
28,Microsoft,Other,2025-01-07,MSFT,MSFT,False,
29,SolarEdge,Energy,2025-01-06,SEDG,SEDG,True,
30,Lilium,Aerospace,2024-12-23,,,,
31,Cint,Data,2024-12-12,,,,
32,Canoo,Transportation,2024-12-11,GOEVQ,GOEVQ,,
33,Booking Holdings,Travel,2024-12-04,BKNG,BKNG,False,
34,2U,Education,2024-12-04,,,,
35,Lightspeed Commerce,Retail,2024-12-02,TSX,TSX,,
36,SolarEdge,Energy,2024-11-27,SEDG,SEDG,True,
37,Sprout Social,Marketing,2024-11-25,SPT,SPT,False,
38,Ola Electric,Transportation,2024-11-22,OLAELEC,OLAELEC,,
39,AMD,Hardware,2024-11-13,AMD,AMD,False,
40,AppLovin,Marketing,2024-11-13,APP,APP,False,
41,Chegg,Education,2024-11-12,Not Found,Not Found,,
42,Enphase Energy,Energy,2024-11-11,ENPH,ENPH,False,
43,23andMe,Healthcare,2024-11-11,ME,ME,True,
44,BigCommerce,Retail,2024-11-08,BIGC,BIGC,False,
45,Freshworks,Support,2024-11-07,FRSH,FRSH,False,
46,Opendoor,Real Estate,2024-11-07,OPEN,OPEN,True,
47,Akamai,Security,2024-11-07,AKAM,AKAM,True,
48,iRobot,Consumer,2024-11-06,IRBT,IRBT,False,
49,Avaya,Other,2024-11-06,Not Found,Not Found,,
50,Dropbox,Other,2024-10-30,DBX,DBX,False,
51,F5,Security,2024-10-29,,,,
52,Coursera,Education,2024-10-25,,,,
53,Upwork,Other,2024-10-23,Not Found,Not Found,,
54,Meta,Consumer,2024-10-16,,,,
55,Nikola,Transportation,2024-10-11,,,,
56,PubMatic,Marketing,2024-10-07,PUBM,PUBM,False,
57,Zapata Computing,Other,2024-10-07,,,,
58,F5,Security,2024-09-24,,,,
59,Olo,Food,2024-09-23,,,,
60,Luminar,Transportation,2024-09-20,,,,
61,IBM,Hardware,2024-09-18,IBM,IBM,True,False
62,Microsoft,Other,2024-09-12,MSFT,MSFT,True,False
63,Udemy,Education,2024-09-11,Not Found,Not Found,,
64,Mobileye,Transportation,2024-09-09,MBLY,MBLY,True,False
65,Lyft,Transportation,2024-09-04,LYFT,LYFT,False,False
66,Apple,Hardware,2024-08-27,,,,
67,IBM,Hardware,2024-08-26,IBM,IBM,True,False
68,Velo3D,Manufacturing,2024-08-26,,,,
69,Redfin,Real Estate,2024-08-22,RDFN,RDFN,False,True
70,Five9,Support,2024-08-20,,,,
71,GoPro,Consumer,2024-08-19,GPRO,GPRO,True,True
72,AppLovin,Marketing,2024-08-15,APP,APP,False,False
73,Mister Spex,Retail,2024-08-15,Not Found,Not Found,,
74,Sonos,Consumer,2024-08-14,SONO,SONO,True,False
75,Grail,Healthcare,2024-08-13,,,,
76,Cisco,Infrastructure,2024-08-09,CSCO,CSCO,True,False
77,Fastly,Infrastructure,2024-08-08,FSLY,FSLY,True,False
78,Eventbrite,Consumer,2024-08-07,Not Found,Not Found,,
79,LegalZoom,Legal,2024-08-07,LZ,LZ,False,True
80,Teradata,Data,2024-08-06,TDC,TDC,True,True
81,Infineon,Manufacturing,2024-08-05,IFX,IFX,,
82,Dell,Hardware,2024-08-05,Not Found,Not Found,,
83,Intel,Hardware,2024-08-01,INTC,INTC,True,False
84,Avaya,Other,2024-08-01,Not Found,Not Found,,
85,Delivery Hero,Food,2024-07-31,DHER,DHER,,
86,Match Group,Consumer,2024-07-31,MTCH,MTCH,,
87,NerdWallet,Finance,2024-07-30,Not Found,Not Found,,
88,SolarEdge,Energy,2024-07-15,SEDG,SEDG,True,True
89,Salesforce,Sales,2024-07-15,CRM,CRM,True,False
90,Spotify,Media,2024-07-15,Not Found,Not Found,,
91,Intuit,Finance,2024-07-10,INTU,INTU,False,False
92,UIPath,Other,2024-07-09,PATH,PATH,True,False
93,OpenText,Data,2024-07-03,TSX,TSX,,
94,Microsoft,Other,2024-07-03,MSFT,MSFT,True,False
95,Cint,Data,2024-07-01,,,,
96,Planet,Aerospace,2024-06-26,,,,
97,eBay,Retail,2024-06-26,EBAY,EBAY,True,False
98,Perion,Marketing,2024-06-25,,,,
99,Ginkgo Bioworks,Healthcare,2024-06-24,DNA,DNA,True,True
100,Ginkgo Bioworks,Healthcare,2024-06-20,DNA,DNA,True,True
101,Wex,Finance,2024-06-18,,,,
102,PayPal,Finance,2024-06-18,PYPL,PYPL,True,True
103,Fisker,Transportation,2024-06-18,,,,
104,Chegg,Education,2024-06-17,Not Found,Not Found,,
105,Satellogic,Aerospace,2024-06-14,SATL,SATL,,
106,Medtronic,Healthcare,2024-06-13,MDT,MDT,False,True
107,Pagaya,Finance,2024-06-05,,,,
108,Yext,Marketing,2024-06-05,Not Found,Not Found,,
109,Microsoft,Other,2024-06-03,MSFT,MSFT,True,False
110,Google,Consumer,2024-05-31,GOOG,GOOG,True,False
111,Fisker,Transportation,2024-05-29,,,,
112,Funding Circle,Finance,2024-05-29,FCH,FCH,,
113,Lucid Motors,Transportation,2024-05-24,LCID,LCID,,
114,Satellogic,Aerospace,2024-05-24,SATL,SATL,,
115,Cue Health,Healthcare,2024-05-22,,,,
116,Rivian,Transportation,2024-05-10,RIVN,RIVN,,
117,Google,Consumer,2024-05-10,GOOG,GOOG,True,False
118,Vacasa,Travel,2024-05-09,VCSA,VCSA,True,True
119,Kinaxis,Other,2024-05-08,TSX,TSX,,
120,Enovix,Energy,2024-05-06,,,,
121,Cue Health,Healthcare,2024-05-03,,,,
122,Rivian,Transportation,2024-05-03,RIVN,RIVN,,
123,Luminar,Transportation,2024-05-03,,,,
124,Sprinklr,Support,2024-05-03,Not Found,Not Found,,
125,Bakkt,Crypto,2024-05-03,BKKT,BKKT,False,True
126,Peloton,Fitness,2024-05-02,,,,
127,Google,Consumer,2024-05-01,GOOG,GOOG,True,False
128,Tesla,Transportation,2024-04-30,,,,
129,Akili Interactive,Healthcare,2024-04-30,,,,
130,Google,Consumer,2024-04-30,GOOG,GOOG,True,False
131,Fisker,Transportation,2024-04-29,,,,
132,Expedia,Travel,2024-04-24,,,,
133,Google,Consumer,2024-04-17,GOOG,GOOG,True,False
134,Rivian,Transportation,2024-04-17,RIVN,RIVN,,
135,Take-Two,Consumer,2024-04-16,TTWO,TTWO,False,False
136,Tesla,Transportation,2024-04-15,,,,
137,Criteo,Marketing,2024-04-12,CRTO,CRTO,True,True
138,Intel,Hardware,2024-04-09,INTC,INTC,True,False
139,Apple,Hardware,2024-04-04,,,,
140,Lightspeed Commerce,Retail,2024-04-03,TSX,TSX,,
141,Amazon,Retail,2024-04-03,,,,
142,GoPro,Consumer,2024-03-26,GPRO,GPRO,False,False
143,Dell,Hardware,2024-03-25,Not Found,Not Found,,
144,Singular Genomics,Healthcare,2024-03-19,,,,
145,Ancestry,Consumer,2024-03-14,,,,
146,IBM,Hardware,2024-03-12,IBM,IBM,True,True
147,Meta,Consumer,2024-03-06,,,,
148,Edgio,Infrastructure,2024-03-04,Not Found,Not Found,,
149,Fisker,Transportation,2024-02-29,,,,
150,Electronic Arts,Consumer,2024-02-28,EA,EA,True,True
151,Vacasa,Travel,2024-02-28,VCSA,VCSA,True,False
