Company,Industry,Layoff Date,Ticker
HP,Hardware,2025-02-28,
Autodesk,Other,2025-02-27,ADSK
Google,Consumer,2025-02-27,GOOG
eBay,Retail,2025-02-26,EBAY
Dayforce,HR,2025-02-26,DAY
Expedia,Travel,2025-02-26,
Ibotta,Retail,2025-02-22,IBTA
NetEase,Consumer,2025-02-22,NTES
Riskified,Retail,2025-02-19,RSKD
Redfin,Real Estate,2025-02-12,RDFN
Unity,Other,2025-02-11,
Meta,Consumer,2025-02-10,
Wise,Finance,2025-02-10,
Sprinklr,Support,2025-02-06,Not Found
Workday,HR,2025-02-05,
Outbrain,Marketing,2025-02-05,OB
Sonos,Consumer,2025-02-05,SONO
Okta,Security,2025-02-04,
Asana,Other,2025-02-04,
TripAdvisor,Travel,2025-02-04,Not Found
Intel,Hardware,2025-02-04,INTC
Salesforce,Sales,2025-02-03,CRM
Amazon,Retail,2025-01-29,
Microsoft,Other,2025-01-14,MSFT
Boozt,Retail,2025-01-13,
Wayfair,Retail,2025-01-10,W
Zillow,Real Estate,2025-01-10,Z
Redfin,Real Estate,2025-01-09,RDFN
Microsoft,Other,2025-01-07,MSFT
SolarEdge,Energy,2025-01-06,SEDG
Lilium,Aerospace,2024-12-23,
Cint,Data,2024-12-12,
Canoo,Transportation,2024-12-11,GOEVQ
Booking Holdings,Travel,2024-12-04,BKNG
2U,Education,2024-12-04,
Lightspeed Commerce,Retail,2024-12-02,TSX
SolarEdge,Energy,2024-11-27,SEDG
Sprout Social,Marketing,2024-11-25,SPT
Ola Electric,Transportation,2024-11-22,OLAELEC
AMD,Hardware,2024-11-13,AMD
AppLovin,Marketing,2024-11-13,APP
Chegg,Education,2024-11-12,Not Found
Enphase Energy,Energy,2024-11-11,ENPH
23andMe,Healthcare,2024-11-11,ME
BigCommerce,Retail,2024-11-08,BIGC
Freshworks,Support,2024-11-07,FRSH
Opendoor,Real Estate,2024-11-07,OPEN
Akamai,Security,2024-11-07,AKAM
iRobot,Consumer,2024-11-06,IRBT
Avaya,Other,2024-11-06,Not Found
Dropbox,Other,2024-10-30,DBX
F5,Security,2024-10-29,
Coursera,Education,2024-10-25,
Upwork,Other,2024-10-23,Not Found
Meta,Consumer,2024-10-16,
Nikola,Transportation,2024-10-11,
PubMatic,Marketing,2024-10-07,PUBM
Zapata Computing,Other,2024-10-07,
F5,Security,2024-09-24,
Olo,Food,2024-09-23,
Luminar,Transportation,2024-09-20,
IBM,Hardware,2024-09-18,IBM
Microsoft,Other,2024-09-12,MSFT
Udemy,Education,2024-09-11,Not Found
Mobileye,Transportation,2024-09-09,MBLY
Lyft,Transportation,2024-09-04,LYFT
Apple,Hardware,2024-08-27,
IBM,Hardware,2024-08-26,IBM
Velo3D,Manufacturing,2024-08-26,
Redfin,Real Estate,2024-08-22,RDFN
Five9,Support,2024-08-20,
GoPro,Consumer,2024-08-19,GPRO
AppLovin,Marketing,2024-08-15,APP
Mister Spex,Retail,2024-08-15,Not Found
Sonos,Consumer,2024-08-14,SONO
Grail,Healthcare,2024-08-13,
Cisco,Infrastructure,2024-08-09,CSCO
Fastly,Infrastructure,2024-08-08,FSLY
Eventbrite,Consumer,2024-08-07,Not Found
LegalZoom,Legal,2024-08-07,LZ
Teradata,Data,2024-08-06,TDC
Infineon,Manufacturing,2024-08-05,IFX
Dell,Hardware,2024-08-05,Not Found
Intel,Hardware,2024-08-01,INTC
Avaya,Other,2024-08-01,Not Found
Delivery Hero,Food,2024-07-31,DHER
Match Group,Consumer,2024-07-31,MTCH
NerdWallet,Finance,2024-07-30,Not Found
SolarEdge,Energy,2024-07-15,SEDG
Salesforce,Sales,2024-07-15,CRM
Spotify,Media,2024-07-15,Not Found
Intuit,Finance,2024-07-10,INTU
UIPath,Other,2024-07-09,PATH
OpenText,Data,2024-07-03,TSX
Microsoft,Other,2024-07-03,MSFT
Cint,Data,2024-07-01,
Planet,Aerospace,2024-06-26,
eBay,Retail,2024-06-26,EBAY
Perion,Marketing,2024-06-25,
Ginkgo Bioworks,Healthcare,2024-06-24,DNA
Ginkgo Bioworks,Healthcare,2024-06-20,DNA
Wex,Finance,2024-06-18,
PayPal,Finance,2024-06-18,PYPL
Fisker,Transportation,2024-06-18,
Chegg,Education,2024-06-17,Not Found
Satellogic,Aerospace,2024-06-14,SATL
Medtronic,Healthcare,2024-06-13,MDT
Pagaya,Finance,2024-06-05,
Yext,Marketing,2024-06-05,Not Found
Microsoft,Other,2024-06-03,MSFT
Google,Consumer,2024-05-31,GOOG
Fisker,Transportation,2024-05-29,
Funding Circle,Finance,2024-05-29,FCH
Lucid Motors,Transportation,2024-05-24,LCID
Satellogic,Aerospace,2024-05-24,SATL
Cue Health,Healthcare,2024-05-22,
Rivian,Transportation,2024-05-10,RIVN
Google,Consumer,2024-05-10,GOOG
Vacasa,Travel,2024-05-09,VCSA
Kinaxis,Other,2024-05-08,TSX
Enovix,Energy,2024-05-06,
Cue Health,Healthcare,2024-05-03,
Rivian,Transportation,2024-05-03,RIVN
Luminar,Transportation,2024-05-03,
Sprinklr,Support,2024-05-03,Not Found
Bakkt,Crypto,2024-05-03,BKKT
Peloton,Fitness,2024-05-02,
Google,Consumer,2024-05-01,GOOG
Tesla,Transportation,2024-04-30,
Akili Interactive,Healthcare,2024-04-30,
Google,Consumer,2024-04-30,GOOG
Fisker,Transportation,2024-04-29,
Expedia,Travel,2024-04-24,
Google,Consumer,2024-04-17,GOOG
Rivian,Transportation,2024-04-17,RIVN
Take-Two,Consumer,2024-04-16,TTWO
Tesla,Transportation,2024-04-15,
Criteo,Marketing,2024-04-12,CRTO
Intel,Hardware,2024-04-09,INTC
Apple,Hardware,2024-04-04,
Lightspeed Commerce,Retail,2024-04-03,TSX
Amazon,Retail,2024-04-03,
GoPro,Consumer,2024-03-26,GPRO
Dell,Hardware,2024-03-25,Not Found
Singular Genomics,Healthcare,2024-03-19,
Ancestry,Consumer,2024-03-14,
IBM,Hardware,2024-03-12,IBM
Meta,Consumer,2024-03-06,
Edgio,Infrastructure,2024-03-04,Not Found
Fisker,Transportation,2024-02-29,
Electronic Arts,Consumer,2024-02-28,EA
Vacasa,Travel,2024-02-28,VCSA
Bumble,Consumer,2024-02-27,BMBL
PropertyGuru,Real Estate,2024-02-27,
Apple,Transportation,2024-02-27,
Expedia,Travel,2024-02-26,
Affirm,Finance,2024-02-21,
BuzzFeed,Media,2024-02-21,BZFD
Rivian,Transportation,2024-02-21,RIVN
Aptiv,Transportation,2024-02-20,APTV
Toast,Food,2024-02-15,
Sonder,Travel,2024-02-15,
Storytel,Consumer,2024-02-15,Not Found
Cisco,Infrastructure,2024-02-14,CSCO
Instacart,Food,2024-02-13,CART
Impinj,Other,2024-02-13,PI
Riskified,Retail,2024-02-13,RSKD
SiriusXM,Media,2024-02-12,SIRI
Pure Storage,Data,2024-02-08,PSTG
Otovo,Energy,2024-02-08,
Getaround,Transportation,2024-02-08,GETR
Tenable,Security,2024-02-07,
DocuSign,Sales,2024-02-06,DOCU
Amazon,Retail,2024-02-06,
Snap,Consumer,2024-02-05,
Cue Health,Healthcare,2024-02-02,
Okta,Security,2024-02-01,
Zoom,Other,2024-02-01,
Illumina,Healthcare,2024-02-01,
Innoviz,Transportation,2024-01-31,Not Found
Zuora,Finance,2024-01-31,Not Found
PayPal,Finance,2024-01-30,PYPL
Block,Finance,2024-01-30,
Procore,Construction,2024-01-30,PCOR
iRobot,Consumer,2024-01-29,IRBT
Salesforce,Sales,2024-01-26,CRM
Microsoft,Other,2024-01-25,MSFT
Jamf,Other,2024-01-25,JAMF
Storytel,Media,2024-01-24,Not Found
Aurora,Transportation,2024-01-24,
Desktop Metal,Other,2024-01-24,DM
HubSpot,Marketing,2024-01-24,HUBS
SAP,Other,2024-01-23,SAP
eBay,Retail,2024-01-23,EBAY
Vroom,Transportation,2024-01-23,
2U,Education,2024-01-22,
Google,Consumer,2024-01-22,GOOG
SolarEdge,Energy,2024-01-21,SEDG
Wayfair,Retail,2024-01-19,W
Amazon,Retail,2024-01-18,
Stitch Fix,Retail,2024-01-18,SFIX
Google,Consumer,2024-01-16,GOOG
New Work SE,Consumer,2024-01-11,Not Found
Playtika,Consumer,2024-01-11,PLTK
Cloudflare,Security,2024-01-11,NET
888,Consumer,2024-01-11,
Google,Consumer,2024-01-10,GOOG
IAC,Consumer,2024-01-10,
Amazon,Retail,2024-01-10,
SoFi,Finance,2024-01-10,SOFI
Nevro,Healthcare,2024-01-09,Not Found
Rent the Runway,Retail,2024-01-09,Not Found
EVBox,Energy,2024-01-09,Not Found
Unity,Other,2024-01-08,
NuScale Power,Energy,2024-01-08,SMR
MeridianLink,Finance,2024-01-08,
NanoString Technologies,Healthcare,2024-01-06,NSTGQ
Cue Health,Healthcare,2024-01-05,
Xerox,Hardware,2024-01-03,XRX
Ocado,Food,2023-12-31,OCDO
Intel,Hardware,2023-12-21,INTC
Kaspien,Retail,2023-12-19,KSPN
Enphase Energy,Energy,2023-12-18,ENPH
Arm Holdings,Hardware,2023-12-18,ARM
Delivery Hero,Food,2023-12-18,DHER
eBay,Retail,2023-12-17,EBAY
Invitae,Healthcare,2023-12-13,NVTAQ
Etsy,Retail,2023-12-13,ETSY
Analog Devices,Manufacturing,2023-12-13,ADI
TomTom,Transportation,2023-12-12,TOM2
SmileDirectClub,Healthcare,2023-12-09,SDCCQ
Rivian,Transportation,2023-12-07,RIVN
Bill.com,Finance,2023-12-05,BILL
Spotify,Media,2023-12-04,Not Found
TuSimple,Transportation,2023-12-04,TSPH
Twilio,Other,2023-12-04,Not Found
Domo,Data,2023-11-30,
Unity,Other,2023-11-28,
Presto,Food,2023-11-20,
