Ticker,2018-12-31,2019-02-02,2019-03-31,2019-05-04,2019-06-30,2019-08-03,2019-09-30,2019-11-02,2019-12-31,2020-01-31,2020-02-01,2020-03-28,2020-03-29,2020-03-31,2020-04-03,2020-04-24,2020-04-25,2020-04-30,2020-05-02,2020-05-03,2020-06-27,2020-06-28,2020-06-30,2020-07-03,2020-07-25,2020-07-31,2020-08-01,2020-08-02,2020-09-26,2020-09-27,2020-09-30,2020-10-02,2020-10-03,2020-10-24,2020-10-30,2020-10-31,2020-11-01,2020-12-26,2020-12-27,2020-12-31,2021-01-01,2021-01-02,2021-01-23,2021-01-29,2021-01-30,2021-01-31,2021-03-27,2021-03-28,2021-03-31,2021-04-02,2021-04-03,2021-04-30,2021-05-01,2021-05-02,2021-06-26,2021-06-27,2021-06-30,2021-07-02,2021-07-03,2021-07-30,2021-07-31,2021-08-01,2021-09-25,2021-09-26,2021-09-30,2021-10-01,2021-10-02,2021-10-29,2021-10-30,2021-10-31,2021-12-25,2021-12-26,2021-12-31,2022-01-01,2022-01-28,2022-01-29,2022-01-31,2022-02-06,2022-03-26,2022-03-27,2022-03-31,2022-04-01,2022-04-02,2022-04-29,2022-04-30,2022-05-08,2022-06-25,2022-06-26,2022-06-30,2022-07-01,2022-07-02,2022-07-29,2022-07-30,2022-07-31,2022-08-07,2022-09-24,2022-09-25,2022-09-30,2022-10-01,2022-10-28,2022-10-29,2022-10-31,2022-11-06,2022-12-25,2022-12-30,2022-12-31,2023-01-27,2023-01-28,2023-01-31,2023-02-05,2023-03-26,2023-03-31,2023-04-01,2023-04-28,2023-04-29,2023-04-30,2023-05-07,2023-06-25,2023-06-30,2023-07-01,2023-07-28,2023-07-29,2023-07-31,2023-08-06,2023-09-24,2023-09-29,2023-09-30,2023-10-27,2023-10-28,2023-10-31,2023-11-05,2023-12-24,2023-12-29,2023-12-30,2023-12-31,2024-01-26,2024-01-27,2024-01-31,2024-02-03,2024-02-04,2024-03-29,2024-03-30,2024-03-31,2024-04-26,2024-04-27,2024-04-30,2024-05-04,2024-05-05,2024-06-28,2024-06-29,2024-06-30,2024-07-26,2024-07-27,2024-07-31,2024-08-03,2024-08-04,2024-09-27,2024-09-28,2024-09-29,2024-09-30,2024-10-25,2024-10-26,2024-10-31,2024-11-02,2024-11-03,2024-12-27,2024-12-28,2024-12-29,2024-12-31,2025-01-24,2025-01-25,2025-01-31,2025-02-01,2025-02-02
NVTAQ,45.36,,40.55,,53.48,,56.51,,66.29,,,,,64.25,,,,,,,,,46.19,,,,,,,,68.73,,,,,,,,,100.43,,,,,,,,,103.62,,,,,,,,116.31,,,,,,,,114.4,,,,,,,,126.12,,,,,,,,123.69,,,,,,,,136.62,,,,,,,,,133.54,,,,,,,,122.45,,,,,,117.36,,,,,,,120.53,,,,,,,,121.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSPN,,127.43,,35.13,,34.26,,28.62,,,35.21,,,,,,,,31.59,,,,,,,,42.3,,,,,,,,,38.91,,,,,,,,,45.55,,,,,,,,40.62,,,,,,,,34.89,,,,,,,,32.17,,,,,,,36.03,,,,,,,,,31.79,,,,,,,,33.91,,,,,,,,29.15,,,,,,,33.39,,,,,,,32.93,,,,,,,33.14,,,,,,,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM,,,,,,,,,5.56,,,,,3.39,,,,,,,,,2.19,,,,,,,,2.53,,,,,,,,,8.37,,,,,,,,,11.31,,,,,,,,18.98,,,,,,,,25.44,,,,,,,,56.68,,,,,,,,43.71,,,,,,,,57.67,,,,,,,,,47.09,,,,,,,,60.56,,,,,,41.32,,,,,,,53.29,,,,,,,,42.75,,,,,,,,52.35,,,,,,,,40.6,,,,,,,,38.93,,,,,,,,,36.41,,,,,,,,,,,,,,
TSPH,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALY,,,,,,,,,130.42,,,,,109.15,,,,,,,,,28.92,,,,,,,,116.62,,,,,,,,,118.1,,,,,,,,,192.27,,,,,,,,267.73,,,,,,,,314.78,,,,,,,,547.67,,,,,,,,548.27,,,,,,,,552.5,,,,,,,,,578.25,,,,,,,,576.69,,,,,,598.72,,,,,,,606.21,,,,,,,,632.48,,,,,,,,611.67,,,,,,,,618.48,,,,,,,,621.66,,,,,,,,,629.97,,,,,,,,,,,,,,
NCNO,,,,,,,,,,38.5,,,,,,,,44.71,,,,,,,,48.77,,,,,,,,,,54.23,,,,,,,,,,56.59,,,,,,62.36,,,,,,,,,66.52,,,,,,,,,70.04,,,,,,,74.96,,,,,,,,94.21,,,,,,,,,99.63,,,,,,,,105.3,,,,,,,109.18,,,,,,,113.67,,,,,,,117.24,,,,,,,121.94,,,,,,,,123.69,,,,,,,,128.09,,,,,,,,132.4,,,,,,,,,138.8,,,,,,,,,,,
SONO,,,,,,,,,,,,175.1,,,,,,,,,249.31,,,,,,,,,,,,339.84,,,,,,,,,645.58,,,,,,,,,332.95,,,,,,,,378.67,,,,,,,,359.54,,,,,,,664.48,,,,,,,,,399.78,,,,,,,,371.78,,,,,,,,316.29,,,,,,,672.58,,,,,,,304.17,,,,,,,373.36,,,,,,,305.15,,,,,,,612.87,,,,,,,,252.66,,,,,,,,397.15,,,,,,,,255.38,,,,,,,,,550.86,,,,,,,
INTC,,,,,,,,,,,,19828.0,,,,,,,,,19728.0,,,,,,,,18333.0,,,,,,,,,19978.0,,,,,,,,,19673.0,,,,,,,,19631.0,,,,,,,,19192.0,,,,,,,,20528.0,,,,,,,,,,,,18353.0,,,,,,,,15321.0,,,,,,,,15338.0,,,,,,,14042.0,,,,,,,11715.0,,,,,,,12949.0,,,,,,,14158.0,,,,,,,15406.0,,,,,,,,12724.0,,,,,,,,12833.0,,,,,,,,13284.0,,,,,,,,,14260.0,,,,,,,
AMD,,,,,,,,,,,,1786.0,,,,,,,,,1932.0,,,,,,,,2801.0,,,,,,,,,3244.0,,,,,,,,,3445.0,,,,,,,,3850.0,,,,,,,,4313.0,,,,,,,,4826.0,,,,,,,,5887.0,,,,,,,,6550.0,,,,,,,,,5565.0,,,,,,,,,,5599.0,,,,,,,5353.0,,,,,,,5359.0,,,,,,,5800.0,,,,,,,6168.0,,,,,,,,5473.0,,,,,,,,5835.0,,,,,,,,6819.0,,,,,,,,,7658.0,,,,,,,
IRBT,,,,,,,,,,,,192.54,,,,,,,,,279.88,,,,,,,,413.15,,,,,,,,,,,,,544.83,,,,,,,,,303.26,,,,,,,,365.6,,,,,,,,440.68,,,,,,,455.45,,,,,,,,,291.97,,,,,,,,255.35,,,,,,,,278.19,,,,,,,357.87,,,,,,,160.29,,,,,,,236.57,,,,,,,186.18,,,,,,,307.54,,,,,,,,150.01,,,,,,,,166.36,,,,,,,,193.44,,,,,,,,,172.04,,,,,,,
